Epoch	LR	Train-Loss	Train-Acc-B	Train-Acc	Train-Precision	Train-Recall	Train-F1	Valid-Loss	Valid-Acc-B	Valid-Acc	Valid-Precision	Valid-Recall	Valid-F1	
157.000000	0.048525	1.428000	93.549000	95.460000	94.223000	93.549000	93.810000	1.440000	89.812000	92.504000	90.028000	89.812000	89.644000	
158.000000	0.048030	1.425000	93.492000	95.511000	94.190000	93.492000	93.764000	1.421000	89.520000	92.585000	90.008000	89.520000	89.472000	
159.000000	0.047535	1.420000	93.364000	95.694000	94.358000	93.364000	93.738000	1.466000	88.250000	90.721000	88.908000	88.250000	88.231000	
160.000000	0.047040	1.426000	93.445000	95.399000	94.060000	93.445000	93.665000	1.458000	88.802000	91.288000	89.447000	88.802000	88.700000	
161.000000	0.046547	1.419000	93.228000	95.572000	93.897000	93.228000	93.494000	1.428000	89.128000	92.909000	90.397000	89.128000	89.539000	
162.000000	0.046054	1.424000	93.273000	95.511000	93.841000	93.273000	93.486000	1.446000	87.359000	91.572000	89.171000	87.359000	87.747000	
163.000000	0.045561	1.418000	93.609000	95.765000	94.408000	93.609000	93.888000	1.450000	89.634000	91.288000	89.051000	89.634000	88.839000	
164.000000	0.045069	1.422000	93.391000	95.613000	94.272000	93.391000	93.774000	1.450000	87.804000	91.856000	88.706000	87.804000	87.901000	
165.000000	0.044578	1.420000	93.920000	95.827000	94.608000	93.920000	94.185000	1.444000	89.178000	92.342000	88.723000	89.178000	88.480000	
166.000000	0.044088	1.414000	93.843000	95.918000	94.232000	93.843000	93.986000	1.444000	88.792000	92.382000	90.456000	88.792000	89.098000	
