Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, train acc: 0.433937, train avg acc: 0.257482
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 20, loss: 1.630248, acc: 0.882024, avg acc: 0.818360, prec(macro): 0.834479, prec(weighted): 0.877435, recall(macro): 0.818360, recall(weighted): 0.882024, f1(macro): 0.823680, f1(weighted): 0.878008
Train 20, loss: 6.489287, acc: 0.882024, avg acc: 0.818360, prec(macro): 0.834479, prec(weighted): 0.877435, recall(macro): 0.818360, recall(weighted): 0.882024, f1(macro): 0.823680, f1(weighted): 0.878008
Train 21, loss: 1.632371, acc: 0.880090, avg acc: 0.815672, prec(macro): 0.834219, prec(weighted): 0.875393, recall(macro): 0.815672, recall(weighted): 0.880090, f1(macro): 0.822805, f1(weighted): 0.876359
Train 21, loss: 6.497737, acc: 0.880090, avg acc: 0.815672, prec(macro): 0.834219, prec(weighted): 0.875393, recall(macro): 0.815672, recall(weighted): 0.880090, f1(macro): 0.822805, f1(weighted): 0.876359
Train 22, loss: 1.628379, acc: 0.879784, avg acc: 0.815188, prec(macro): 0.837986, prec(weighted): 0.876010, recall(macro): 0.815188, recall(weighted): 0.879784, f1(macro): 0.823909, f1(weighted): 0.876118
Train 22, loss: 6.481847, acc: 0.879784, avg acc: 0.815188, prec(macro): 0.837986, prec(weighted): 0.876010, recall(macro): 0.815188, recall(weighted): 0.879784, f1(macro): 0.823909, f1(weighted): 0.876118
Train 23, loss: 1.622930, acc: 0.881922, avg acc: 0.818469, prec(macro): 0.832072, prec(weighted): 0.876173, recall(macro): 0.818469, recall(weighted): 0.881922, f1(macro): 0.822955, f1(weighted): 0.877623
Train 23, loss: 6.460155, acc: 0.881922, avg acc: 0.818469, prec(macro): 0.832072, prec(weighted): 0.876173, recall(macro): 0.818469, recall(weighted): 0.881922, f1(macro): 0.822955, f1(weighted): 0.877623
Train 24, loss: 1.615467, acc: 0.893119, avg acc: 0.833737, prec(macro): 0.849173, prec(weighted): 0.888857, recall(macro): 0.833737, recall(weighted): 0.893119, f1(macro): 0.838845, f1(weighted): 0.889331
Train 24, loss: 6.430450, acc: 0.893119, avg acc: 0.833737, prec(macro): 0.849173, prec(weighted): 0.888857, recall(macro): 0.833737, recall(weighted): 0.893119, f1(macro): 0.838845, f1(weighted): 0.889331
Train 25, loss: 1.613921, acc: 0.890574, avg acc: 0.829398, prec(macro): 0.847261, prec(weighted): 0.886048, recall(macro): 0.829398, recall(weighted): 0.890574, f1(macro): 0.836400, f1(weighted): 0.887043
Train 25, loss: 6.424294, acc: 0.890574, avg acc: 0.829398, prec(macro): 0.847261, prec(weighted): 0.886048, recall(macro): 0.829398, recall(weighted): 0.890574, f1(macro): 0.836400, f1(weighted): 0.887043
Train 26, loss: 1.615373, acc: 0.887419, avg acc: 0.826166, prec(macro): 0.845110, prec(weighted): 0.883279, recall(macro): 0.826166, recall(weighted): 0.887419, f1(macro): 0.833330, f1(weighted): 0.883959
Train 26, loss: 6.430075, acc: 0.887419, avg acc: 0.826166, prec(macro): 0.845110, prec(weighted): 0.883279, recall(macro): 0.826166, recall(weighted): 0.887419, f1(macro): 0.833330, f1(weighted): 0.883959
Train 27, loss: 1.610752, acc: 0.889556, avg acc: 0.829648, prec(macro): 0.844597, prec(weighted): 0.885022, recall(macro): 0.829648, recall(weighted): 0.889556, f1(macro): 0.834671, f1(weighted): 0.885726
Train 27, loss: 6.411680, acc: 0.889556, avg acc: 0.829648, prec(macro): 0.844597, prec(weighted): 0.885022, recall(macro): 0.829648, recall(weighted): 0.889556, f1(macro): 0.834671, f1(weighted): 0.885726
Train 28, loss: 1.596686, acc: 0.897496, avg acc: 0.840373, prec(macro): 0.856999, prec(weighted): 0.893141, recall(macro): 0.840373, recall(weighted): 0.897496, f1(macro): 0.846215, f1(weighted): 0.893694
Train 28, loss: 6.355690, acc: 0.897496, avg acc: 0.840373, prec(macro): 0.856999, prec(weighted): 0.893141, recall(macro): 0.840373, recall(weighted): 0.897496, f1(macro): 0.846215, f1(weighted): 0.893694
Train 29, loss: 1.598236, acc: 0.894340, avg acc: 0.838605, prec(macro): 0.854363, prec(weighted): 0.890097, recall(macro): 0.838605, recall(weighted): 0.894340, f1(macro): 0.844442, f1(weighted): 0.890894
Train 29, loss: 6.361859, acc: 0.894340, avg acc: 0.838605, prec(macro): 0.854363, prec(weighted): 0.890097, recall(macro): 0.838605, recall(weighted): 0.894340, f1(macro): 0.844442, f1(weighted): 0.890894
Train 30, loss: 1.601837, acc: 0.890879, avg acc: 0.828801, prec(macro): 0.845848, prec(weighted): 0.885990, recall(macro): 0.828801, recall(weighted): 0.890879, f1(macro): 0.834522, f1(weighted): 0.886642
Train 30, loss: 6.376193, acc: 0.890879, avg acc: 0.828801, prec(macro): 0.845848, prec(weighted): 0.885990, recall(macro): 0.828801, recall(weighted): 0.890879, f1(macro): 0.834522, f1(weighted): 0.886642
Train 31, loss: 1.586804, acc: 0.901262, avg acc: 0.844000, prec(macro): 0.864733, prec(weighted): 0.897683, recall(macro): 0.844000, recall(weighted): 0.901262, f1(macro): 0.852166, f1(weighted): 0.898070
Train 31, loss: 6.316353, acc: 0.901262, avg acc: 0.844000, prec(macro): 0.864733, prec(weighted): 0.897683, recall(macro): 0.844000, recall(weighted): 0.901262, f1(macro): 0.852166, f1(weighted): 0.898070
Train 32, loss: 1.592820, acc: 0.896783, avg acc: 0.840413, prec(macro): 0.857167, prec(weighted): 0.892713, recall(macro): 0.840413, recall(weighted): 0.896783, f1(macro): 0.846403, f1(weighted): 0.893228
Train 32, loss: 6.340301, acc: 0.896783, avg acc: 0.840413, prec(macro): 0.857167, prec(weighted): 0.892713, recall(macro): 0.840413, recall(weighted): 0.896783, f1(macro): 0.846403, f1(weighted): 0.893228
Train 33, loss: 1.584155, acc: 0.901059, avg acc: 0.844969, prec(macro): 0.859587, prec(weighted): 0.897042, recall(macro): 0.844969, recall(weighted): 0.901059, f1(macro): 0.850150, f1(weighted): 0.897621
Train 33, loss: 6.305809, acc: 0.901059, avg acc: 0.844969, prec(macro): 0.859587, prec(weighted): 0.897042, recall(macro): 0.844969, recall(weighted): 0.901059, f1(macro): 0.850150, f1(weighted): 0.897621
Train 34, loss: 1.577343, acc: 0.905843, avg acc: 0.853754, prec(macro): 0.869954, prec(weighted): 0.901822, recall(macro): 0.853754, recall(weighted): 0.905843, f1(macro): 0.859652, f1(weighted): 0.902335
Train 34, loss: 6.278694, acc: 0.905843, avg acc: 0.853754, prec(macro): 0.869954, prec(weighted): 0.901822, recall(macro): 0.853754, recall(weighted): 0.905843, f1(macro): 0.859652, f1(weighted): 0.902335
Train 35, loss: 1.580847, acc: 0.902891, avg acc: 0.849985, prec(macro): 0.867685, prec(weighted): 0.899788, recall(macro): 0.849985, recall(weighted): 0.902891, f1(macro): 0.856639, f1(weighted): 0.899960
Train 35, loss: 6.292641, acc: 0.902891, avg acc: 0.849985, prec(macro): 0.867685, prec(weighted): 0.899788, recall(macro): 0.849985, recall(weighted): 0.902891, f1(macro): 0.856639, f1(weighted): 0.899960
Train 36, loss: 1.580706, acc: 0.904927, avg acc: 0.850803, prec(macro): 0.868674, prec(weighted): 0.901319, recall(macro): 0.850803, recall(weighted): 0.904927, f1(macro): 0.857668, f1(weighted): 0.901757
Train 36, loss: 6.292080, acc: 0.904927, avg acc: 0.850803, prec(macro): 0.868674, prec(weighted): 0.901319, recall(macro): 0.850803, recall(weighted): 0.904927, f1(macro): 0.857668, f1(weighted): 0.901757
Train 37, loss: 1.579243, acc: 0.902280, avg acc: 0.851165, prec(macro): 0.868081, prec(weighted): 0.898988, recall(macro): 0.851165, recall(weighted): 0.902280, f1(macro): 0.857442, f1(weighted): 0.899166
Train 37, loss: 6.286256, acc: 0.902280, avg acc: 0.851165, prec(macro): 0.868081, prec(weighted): 0.898988, recall(macro): 0.851165, recall(weighted): 0.902280, f1(macro): 0.857442, f1(weighted): 0.899166
